17:5:52.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9399N, 112.4745, W, Speed (knots): , 56.21, Angle: 78.16, Altitude: 15480.10, Satellites: 10
17:5:56.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9400N, 112.4733, W, Speed (knots): , 58.65, Angle: 76.04, Altitude: 15411.60, Satellites: 10
17:5:58.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9401N, 112.4725, W, Speed (knots): , 55.94, Angle: 79.92, Altitude: 15367.40, Satellites: 10
17:6:0.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9402N, 112.4718, W, Speed (knots): , 51.69, Angle: 79.17, Altitude: 15324.30, Satellites: 10
17:6:3.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9403N, 112.4708, W, Speed (knots): , 56.05, Angle: 83.59, Altitude: 15258.00, Satellites: 10
17:6:4.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9404N, 112.4701, W, Speed (knots): , 50.34, Angle: 70.72, Altitude: 15220.10, Satellites: 10
17:6:7.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9404N, 112.4694, W, Speed (knots): , 52.94, Angle: 84.71, Altitude: 15176.20, Satellites: 10
17:6:10.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9405N, 112.4682, W, Speed (knots): , 56.54, Angle: 83.39, Altitude: 15108.80, Satellites: 10
17:6:12.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9406N, 112.4675, W, Speed (knots): , 60.37, Angle: 78.97, Altitude: 15068.70, Satellites: 10
17:6:14.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9406N, 112.4667, W, Speed (knots): , 60.80, Angle: 89.88, Altitude: 15024.20, Satellites: 10
17:6:16.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9407N, 112.4654, W, Speed (knots): , 67.04, Angle: 85.92, Altitude: 14962.90, Satellites: 10
17:6:19.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9407N, 112.4645, W, Speed (knots): , 68.20, Angle: 83.13, Altitude: 14921.30, Satellites: 10
17:6:20.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9408N, 112.4635, W, Speed (knots): , 74.39, Angle: 88.12, Altitude: 14881.90, Satellites: 10
17:6:23.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9408N, 112.4625, W, Speed (knots): , 76.17, Angle: 83.14, Altitude: 14843.00, Satellites: 10
17:6:24.984, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9409N, 112.4616, W, Speed (knots): , 69.86, Angle: 80.42, Altitude: 14801.80, Satellites: 10
17:6:28.0, Date: 29/6/24, Fix: 1,  quality: 2, Location: 43.9410N, 112.4600, W, Speed (knots): , 81.09, Angle: 88.44, Altitude: 14739.10, Satellites: 10
