time, Longitude, Longitude, Speed(Kn), Angle(°), Altatude(m),,,,
8:12:45 AM,43.8399,-112.2548,0.29,188.21,1508.2,,,,
8:12:47 AM,43.8399,-112.2549,0.09,184.15,1508.2,,,,
6:12:49 PM,43.8399,-112.2548,0.05,109.66,1508.2,,,,
8:12:51 AM,43.8399,-112.2548,0.06,69.77,1508.2,,,,
8:12:54 AM,43.8399,-112.2548,0.07,64.14,1508.2,,,,
8:12:56 AM,43.8399,-112.2548,0,218.46,1508.2,,,,
8:12:58 AM,43.8399,-112.2548,0.03,65.61,1508.2,,,,
8:13:01 AM,43.8399,-112.2548,0.02,28.54,1508.2,,,,
8:13:03 AM,43.8399,-112.2548,0.01,186.71,1508.2,,,,
8:13:05 AM,43.8399,-112.2548,0.02,200.19,1508.2,,,,
6:13:07 PM,43.8399,-112.2548,0.03,304.39,1508.2,,,,
8:13:10 AM,43.8399,-112.2548,0,215.22,1508.2,,,,
8:13:12 AM,43.8399,-112.2548,0.01,90.57,1508.2,,,,
8:13:15 AM,43.8399,-112.2548,0.02,53.14,1508.2,,,,
8:13:17 AM,43.8399,-112.2548,0.02,58.27,1508.2,,,,
8:13:19 AM,43.8399,-112.2548,0.01,62.57,1508.2,,,,
8:13:21 AM,43.8399,-112.2548,0.08,216.58,1508.2,,,,
8:13:23 AM,43.8399,-112.2548,0.02,120.17,1508.2,,,,
8:13:25 AM,43.8399,-112.2548,0.01,330.43,1508.2,,,,
8:13:27 AM,43.8399,-112.2548,0.02,181.97,1508.2,,,,
8:13:30 AM,43.8399,-112.2548,0.03,214.9,1508.3,,,,
8:13:32 AM,43.8399,-112.2548,0.02,166.89,1508.3,,,,
8:13:34 AM,43.8399,-112.2548,0.01,5.47,1508.3,,,,
8:13:37 AM,43.8399,-112.2548,0.06,114.62,1508.3,,,,
8:13:40 AM,43.8399,-112.2548,0.01,195.32,1508.3,,,,
8:13:42 AM,43.8399,-112.2548,0,162.3,1508.3,,,,
8:13:44 AM,43.8399,-112.2548,0.01,220.11,1508.3,,,,
8:13:47 AM,43.8399,-112.2548,0.02,168.38,1508.3,,,,
8:13:49 AM,43.8399,-112.2548,0.01,3.61,1508.3,,,,
8:13:52 AM,43.8399,-112.2548,0.01,31.51,1508.3,,,,
6:13:54 PM,43.8399,-112.2548,0.01,196.79,1508.3,,,,
8:13:57 AM,43.8399,-112.2548,0.02,216.14,1508.3,,,,
6:13:59 PM,43.8399,-112.2548,0.03,213.09,1508.3,,,,
8:14:01 AM,43.8399,-112.2548,0.02,96.58,1508.3,,,,
8:14:04 AM,43.8399,-112.2548,0.03,144.35,1508.3,,,,
8:14:06 AM,43.8399,-112.2548,0.01,268.02,1508.3,,,,
8:14:08 AM,43.8399,-112.2548,0.01,18.2,1508.3,,,,
8:14:10 AM,43.8399,-112.2548,0.06,29.7,1508.3,,,,
8:14:13 AM,43.8399,-112.2548,0.03,351.02,1508.3,,,,
8:14:15 AM,43.8399,-112.2548,0.04,308.91,1508.3,,,,
8:14:18 AM,43.8399,-112.2548,0.01,321.36,1508.3,,,,
8:14:20 AM,43.8399,-112.2548,0.03,195.15,1508.3,,,,
8:14:22 AM,43.8399,-112.2548,0.01,294.65,1508.3,,,,
6:14:24 PM,43.8399,-112.2548,0.02,68.66,1508.3,,,,
8:14:27 AM,43.8399,-112.2548,0.02,317.8,1508.2,,,,
6:14:29 PM,43.8399,-112.2548,0.02,332.27,1508.2,,,,
8:14:31 AM,43.8399,-112.2548,0.03,249.81,1508.2,,,,
6:14:33 PM,43.8399,-112.2548,0.02,340.63,1508.2,,,,
8:14:36 AM,43.8399,-112.2548,0.02,225.09,1508.2,,,,
8:14:38 AM,43.8399,-112.2548,0,0,1508.2,,,,
8:14:40 AM,43.8399,-112.2548,0.01,347.13,1508.2,,,,
8:14:42 AM,43.8399,-112.2548,0.01,165.93,1508.2,,,,
8:14:44 AM,43.8399,-112.2548,0.02,347.25,1508.2,,,,
8:14:46 AM,43.8399,-112.2548,0.01,61.68,1508.2,,,,
6:14:49 PM,43.8399,-112.2548,0.01,24.71,1508.2,,,,
8:14:51 AM,43.8399,-112.2548,0,196.32,1508.2,,,,
8:14:53 AM,43.8399,-112.2548,0.01,196.08,1508.2,,,,
8:14:55 AM,43.8399,-112.2548,0.05,228.69,1508.2,,,,
8:14:58 AM,43.8399,-112.2548,0.03,180.54,1508.2,,,,
8:15:00 AM,43.8399,-112.2548,0.01,280.96,1508.1,,,,
8:15:03 AM,43.8399,-112.2548,0,93.34,1508.1,,,,
8:15:05 AM,43.8399,-112.2548,0.01,343.03,1508.1,,,,
8:15:07 AM,43.8399,-112.2548,0,0,1508.1,,,,
8:15:10 AM,43.8399,-112.2548,0,248.94,1508.1,,,,
8:15:12 AM,43.8399,-112.2548,0.01,174.96,1508.1,,,,
8:15:14 AM,43.8399,-112.2548,0.01,174.61,1508.1,,,,
8:15:16 AM,43.8399,-112.2548,0.01,185.58,1508.1,,,,
8:15:19 AM,43.8399,-112.2548,0.02,190.11,1508.1,,,,
8:15:22 AM,43.8399,-112.2548,0.09,157.16,1508.1,,,,
8:15:25 AM,43.8399,-112.2548,0.1,134.58,1508.1,,,,
8:15:27 AM,43.8399,-112.2548,0.13,182.86,1508.1,,,,
8:15:29 AM,43.8399,-112.2548,0.12,188.24,1508.1,,,,
8:15:32 AM,43.8399,-112.2548,0.12,175.73,1508,,,,
8:15:34 AM,43.8399,-112.2548,0.11,174.97,1508,,,,
8:15:36 AM,43.8399,-112.2548,0.03,158.5,1508,,,,
8:15:38 AM,43.8399,-112.2548,0.01,116.07,1508,,,,
8:15:41 AM,43.8399,-112.2548,0.01,113.73,1508,,,,
8:15:43 AM,43.8399,-112.2548,0.01,160.78,1508,,,,
8:15:46 AM,43.8399,-112.2548,0.01,121.26,1508,,,,
8:15:48 AM,43.8399,-112.2548,0.02,103.2,1508,,,,
8:15:50 AM,43.8399,-112.2548,0.01,100.49,1508,,,,
