START OF NEW COLLECT
Day 1- 7:52:36,191.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:36,194.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:37,194.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:37,197.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:38,197.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:38,201.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:39,201.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:39,202.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:40,202.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:40,202.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:41,202.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:41,200.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:42,200.00, 0.00 N,0.00W, altitude:0.00
START OF NEW COLLECT
Day 1- 7:52:44,640.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:44,192.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:45,192.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:45,191.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:46,191.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:46,189.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:47,189.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:47,189.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:48,189.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:48,188.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:49,188.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:49,188.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:50,188.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:50,184.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:51,184.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:51,182.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:52,182.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:52,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:53,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:53,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:54,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:54,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:55,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:55,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:56,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:56,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:57,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:57,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:58,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:58,181.00, 0.00 N,0.00W, altitude:0.00
Day 1- 7:52:59,181.00, 0.00 N,0.00W, altitude:0.00
